guérir| [sound:gu%C3%A9rir.mp3]| to cure, heal, remedy, recover
s'habiller| [sound:s%27habiller.mp3]| to get dressed, to dress (onself)
habiter| [sound:habiter.mp3]| to live (in), dwell (in), inhabit
hésiter| [sound:h%C3%A9siter.mp3]| to hesitate
hoqueter| [sound:hoqueter.mp3]| to hiccup, gasp
ignorer| [sound:ignorer.mp3]| to be unaware of, to be unaware of, to ignore
imposer| [sound:imposer.mp3]| to impose
indiquer| [sound:indiquer.mp3]| to incidate, point out, show
induire| [sound:induire.mp3]| to mislead
s'informer| [sound:s%27informer.mp3]| to find out, inquire, inform oneself
compter| [sound:compter.mp3]| to count, intend, expect to
concevoir| [sound:concevoir.mp3]| to conceive
conclure| [sound:conclure.mp3]| to conclude
concourir| [sound:concourir.mp3]| to compete (concurrently)
conduire| [sound:conduire.mp3]| to lead, drive, conduct, manage
conserver| [sound:conserver.mp3]| to preserve, conserve
confondre| [sound:confondre.mp3]| to confuse, confound
conjoindre| [sound:conjoindre.mp3]| to conjoin, unite
conquérir| [sound:conqu%C3%A9rir.mp3]| to conquer
conseiller| [sound:conseiller.mp3]| to advise, counsel, recommend
consentir| [sound:consentir.mp3]| to consent, agree
considérer| [sound:consid%C3%A9rer.mp3]| to consider
consommer| [sound:consommer.mp3]| to consume (drink, eat), consummate
construire| [sound:construire.mp3]| to construct, build
contenir| [sound:contenir.mp3]| to contain<br />to fit
conter| [sound:conter.mp3]| to relate, narrate, recount
contraindre| [sound:contraindre.mp3]| to constrain, restrain, compel
contredire| [sound:contredire.mp3]| to contradict
contrevenir| [sound:contrevenir.mp3]| to contravene
convaincre| [sound:convaincre.mp3]| to convince
convenir| [sound:convenir.mp3]| to suit, be appropriate| to agree, acknowledge
correspondre| [sound:correspondre.mp3]| to correspond (as in write, and to fit, relate)
corrompre| [sound:corrompre.mp3]| to corrupt
coudre| [sound:coudre.mp3]| to sew, stitch
couvrir| [sound:couvrir.mp3]| to cover
craindre| [sound:craindre.mp3]| to fear
créer| [sound:cr%C3%A9er.mp3]| to create
crier| [sound:crier.mp3]| to shout, cry out
cueillir| [sound:cueillir.mp3]| to gather, pick
culpabiliser| [sound:culpabiliser.mp3]| to make one feel guilty
danser| [sound:danser.mp3]| to dance
débattre| [sound:d%C3%A9battre.mp3]| to debate, discuss
décevoir| [sound:d%C3%A9cevoir.mp3]| to deceive, disappoint
déchirer| [sound:d%C3%A9chirer.mp3]| to rip
